route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,cars_allowed
1,9,102,Dalen (Iniö)-Keistiö,0,,,1,1
1,9,103,Dalen (Iniö)-Keistiö,0,,,1,1
1,9,104,Dalen (Iniö)-Keistiö,0,,,1,1
1,10,105,Dalen (Iniö)-Keistiö,0,,,1,1
1,11,106,Dalen (Iniö)-Keistiö,0,,,1,1
1,11,107,Dalen (Iniö)-Keistiö,0,,,1,1
1,11,108,Dalen (Iniö)-Keistiö,0,,,1,1
1,11,109,Dalen (Iniö)-Keistiö,0,,,1,1
1,11,110,Dalen (Iniö)-Keistiö,0,,,1,1
1,11,111,Dalen (Iniö)-Keistiö,0,,,1,1
1,11,112,Dalen (Iniö)-Keistiö,0,,,1,1
1,11,113,Dalen (Iniö)-Keistiö,0,,,1,1
1,11,114,Dalen (Iniö)-Keistiö,0,,,1,1
1,11,115,Dalen (Iniö)-Keistiö,0,,,1,1
1,11,116,Dalen (Iniö)-Keistiö,0,,,1,1
1,11,117,Dalen (Iniö)-Keistiö,0,,,1,1
1,11,118,Dalen (Iniö)-Keistiö,0,,,1,1
1,11,119,Dalen (Iniö)-Keistiö,0,,,1,1
1,12,120,Dalen (Iniö)-Keistiö,0,,,1,1
1,12,121,Dalen (Iniö)-Keistiö,0,,,1,1
1,12,122,Dalen (Iniö)-Keistiö,0,,,1,1
1,12,123,Dalen (Iniö)-Keistiö,0,,,1,1
1,12,124,Dalen (Iniö)-Keistiö,0,,,1,1
1,12,125,Dalen (Iniö)-Keistiö,0,,,1,1
1,12,126,Dalen (Iniö)-Keistiö,0,,,1,1
1,12,127,Dalen (Iniö)-Keistiö,0,,,1,1
1,12,128,Dalen (Iniö)-Keistiö,0,,,1,1
1,12,129,Dalen (Iniö)-Keistiö,0,,,1,1
1,12,130,Dalen (Iniö)-Keistiö,0,,,1,1
1,12,131,Dalen (Iniö)-Keistiö,0,,,1,1
1,12,132,Dalen (Iniö)-Keistiö,0,,,1,1
1,13,133,Dalen (Iniö)-Keistiö,0,,,1,1
1,13,134,Dalen (Iniö)-Keistiö,0,,,1,1
1,13,135,Dalen (Iniö)-Keistiö,0,,,1,1
1,13,136,Dalen (Iniö)-Keistiö,0,,,1,1
1,13,137,Dalen (Iniö)-Keistiö,0,,,1,1
1,13,138,Dalen (Iniö)-Keistiö,0,,,1,1
1,13,139,Dalen (Iniö)-Keistiö,0,,,1,1
1,13,140,Dalen (Iniö)-Keistiö,0,,,1,1
1,13,141,Dalen (Iniö)-Keistiö,0,,,1,1
1,13,142,Dalen (Iniö)-Keistiö,0,,,1,1
1,13,143,Dalen (Iniö)-Keistiö,0,,,1,1
1,13,144,Dalen (Iniö)-Keistiö,0,,,1,1
1,13,145,Dalen (Iniö)-Keistiö,0,,,1,1
1,13,146,Dalen (Iniö)-Keistiö,0,,,1,1
1,13,147,Dalen (Iniö)-Keistiö,0,,,1,1
1,13,148,Dalen (Iniö)-Keistiö,0,,,1,1
1,14,149,Dalen (Iniö)-Keistiö,0,,,1,1
1,15,150,Dalen (Iniö)-Keistiö,0,,,1,1
1,15,151,Dalen (Iniö)-Keistiö,0,,,1,1
1,15,152,Dalen (Iniö)-Keistiö,0,,,1,1
1,15,153,Dalen (Iniö)-Keistiö,0,,,1,1
1,15,154,Dalen (Iniö)-Keistiö,0,,,1,1
1,15,155,Dalen (Iniö)-Keistiö,0,,,1,1
1,15,156,Dalen (Iniö)-Keistiö,0,,,1,1
1,15,157,Dalen (Iniö)-Keistiö,0,,,1,1
1,15,158,Dalen (Iniö)-Keistiö,0,,,1,1
1,15,159,Dalen (Iniö)-Keistiö,0,,,1,1
1,15,160,Dalen (Iniö)-Keistiö,0,,,1,1
1,15,161,Dalen (Iniö)-Keistiö,0,,,1,1
1,15,162,Dalen (Iniö)-Keistiö,0,,,1,1
1,15,163,Dalen (Iniö)-Keistiö,0,,,1,1
